operator_id,name,rarity,profession,branch,branch_id
char_4087_ines,伊内丝,6,先锋,情报官,agent
char_427_vigil,伺夜,6,先锋,战术家,tactician
char_1045_svash2,凛御银灰,6,先锋,策士,counsellor
char_4228_closur,可露希尔,6,先锋,战术家,tactician
char_362_saga,嵯峨,6,先锋,尖兵,pioneer
char_4026_vulpis,忍冬,6,先锋,尖兵,pioneer
char_112_siege,推进之王,6,先锋,尖兵,pioneer
char_420_flamtl,焰尾,6,先锋,尖兵,pioneer
char_479_sleach,琴柳,6,先锋,执旗手,bearer
char_249_mlyss,缪尔赛思,6,先锋,战术家,tactician
char_222_bpipe,风笛,6,先锋,冲锋手,charger
char_4179_monstr,Mon3tr,6,医疗,链愈师,chainhealer
char_003_kalts,凯尔希,6,医疗,医师,physician
char_1052_kalts2,凯尔希·思衡托,6,医疗,守望者,watchman
char_179_cgbird,夜莺,6,医疗,群愈师,ringhealer
char_4042_lumen,流明,6,医疗,疗养师,healer
char_1020_reed2,焰影苇草,6,医疗,咒愈师,incantationmedic
char_1016_agoat2,纯烬艾雅法拉,6,医疗,行医,wandermedic
char_4056_titi,缇缇,6,医疗,咒愈师,incantationmedic
char_147_shining,闪灵,6,医疗,医师,physician
char_134_ifrit,伊芙利特,6,术师,轰击术师,blastcaster
char_2013_cerber,刻俄柏,6,术师,中坚术师,corecaster
char_426_billro,卡涅利安,6,术师,阵法术师,phalanx
char_1046_sbell2,圣聆初雪,6,术师,阵法术师,phalanx
char_2015_dusk,夕,6,术师,扩散术师,splashcaster
char_4146_nymph,妮芙,6,术师,本源术师,primcaster
char_472_pasngr,异客,6,术师,链术师,chain
char_4080_lin,林,6,术师,阵法术师,phalanx
char_450_necras,死芒,6,术师,塑灵术师,soulcaster
char_377_gdglow,澄闪,6,术师,驭械术师,funnel
char_1040_blaze2,烛煌,6,术师,本源术师,primcaster
char_4141_marcil,玛露西尔,6,术师,扩散术师,splashcaster
char_4204_mantra,真言,6,术师,本源术师,primcaster
char_4226_veen,维伊,6,术师,秘术师,mystic
char_180_amgoat,艾雅法拉,6,术师,中坚术师,corecaster
char_1038_whitw2,荒芜拉普兰德,6,术师,驭械术师,funnel
char_213_mostma,莫斯提马,6,术师,扩散术师,splashcaster
char_4229_aphris,谬因,6,术师,轰击术师,blastcaster
char_4133_logos,逻各斯,6,术师,中坚术师,corecaster
char_4027_heyak,霍尔海雅,6,术师,中坚术师,corecaster
char_4046_ebnhlz,黑键,6,术师,秘术师,mystic
char_250_phatom,傀影,6,特种,处决者,executor
char_4048_doroth,多萝西,6,特种,陷阱师,traper
char_1502_crosly,弑君者,6,特种,处决者,executor
char_1039_thorn2,引星棘刺,6,特种,炼金师,alchemist
char_1023_ghost2,归溟幽灵鲨,6,特种,傀儡师,dollkeeper
char_1041_angel2,新约能天使,6,特种,怪杰,geek
char_2027_wang,望,6,特种,陷阱师,traper
char_474_glady,歌蕾蒂娅,6,特种,钩索师,hookmaster
char_437_mizuki,水月,6,特种,伏击客,stalker
char_400_weedy,温蒂,6,特种,推击手,pusher
char_1033_swire2,琳琅诗怀雅,6,特种,行商,merchant
char_1028_texas2,缄默德克萨斯,6,特种,处决者,executor
char_322_lmlee,老鲤,6,特种,行商,merchant
char_4123_ela,艾拉,6,特种,陷阱师,traper
char_225_haak,阿,6,特种,怪杰,geek
char_4132_ascln,阿斯卡纶,6,特种,伏击客,stalker
char_1029_yato2,麒麟R夜刀,6,特种,处决者,executor
char_113_cqbw,W,6,狙击,炮手,aoesniper
char_1013_chen2,假日威龙陈,6,狙击,散射手,reaperrange
char_4138_narant,娜仁图亚,6,狙击,回环射手,loopshooter
char_2012_typhon,提丰,6,狙击,攻城手,siegesniper
